product_id,product_name,brand,category,energy_kj,energy_kcal,saturated_fat,sugar,sodium_mg,sodium_g,protein,fiber,fruits_veg_nuts_pct,additives_count,is_organic,nutriscore_score,nutriscore_grade,ecoscore_score,ecoscore_grade
P001,Pain complet bio aux graines,Biocoop,Pains,1050,251,0.8,2.1,420,0.42,10.2,8.5,5.0,0,Yes,-3,A,88,A
P003,Brioche tranchée,Pasquier,Pains,1480,354,5.2,14.5,380,0.38,7.5,2.8,0.0,6,No,13,D,48,C
P005,Baguette viennoise,Harry's,Pains,1520,363,6.8,18.2,420,0.42,8.2,2.5,0.0,8,No,16,D,42,D
P006,Pain au levain bio,Carrefour Bio,Pains,1000,239,0.5,1.8,380,0.38,9.5,7.2,0.0,0,Yes,-4,A,85,A
P007,Pain hot-dog,Jacquet,Pains,1280,306,3.2,8.5,640,0.64,8.8,2.8,0.0,7,No,12,D,45,D
P008,Pain multi-grains bio,U Bio,Pains,1040,249,0.9,2.8,460,0.46,10.5,9.2,12.0,0,Yes,-2,A,86,A
P009,Pain brioché,Brossard,Pains,1450,347,4.8,12.8,365,0.37,7.8,2.2,0.0,6,No,14,D,46,C
P010,Pain de seigle complet,Bjorg,Pains,980,234,0.4,2.2,520,0.52,8.2,8.8,0.0,0,Yes,-5,A,84,A
P014,Brioche nature,Paul,Pains,1420,339,4.5,11.5,350,0.35,7.5,2.5,0.0,5,No,13,D,47,C
P015,Pain épeautre bio,U Bio,Pains,1065,254,0.7,2.9,495,0.5,9.8,7.2,0.0,0,Yes,-1,A,83,A
P016,Pain au son,Jacquet,Pains,995,238,0.6,2.5,560,0.56,9.5,9.8,0.0,1,No,0,A,68,B
P018,Pain de mie brioché,Harry's,Pains,1320,315,3.8,10.5,485,0.49,7.8,2.5,0.0,7,No,12,D,44,D
P019,Pain aux 5 céréales,Casino Bio,Pains,1075,257,0.8,3.2,505,0.51,10.2,7.8,5.0,0,Yes,-1,A,84,A
P020,Pain complet kamut bio,Biocoop,Pains,1045,250,0.7,2.4,435,0.44,10.8,8.2,0.0,0,Yes,-3,A,86,A
P021,Brioche tranchée aux pépites,Pasquier,Pains,1565,374,7.2,22.5,395,0.4,7.2,2.2,0.0,9,No,19,E,38,D
P023,Pain petit épeautre bio,Bjorg,Pains,1020,244,0.6,2.6,465,0.47,9.5,7.8,0.0,0,Yes,-2,A,85,A
P025,Pain complet 7 céréales bio,U Bio,Pains,1055,252,0.8,3.0,480,0.48,10.5,8.5,8.0,0,Yes,-1,A,85,A
P026,Pain brioché aux pépites,Brossard,Pains,1595,381,8.5,28.5,385,0.39,7.5,2.5,0.0,11,No,22,E,35,E
P027,Pain de seigle,Monoprix,Pains,1025,245,0.5,3.2,595,0.6,7.8,7.2,0.0,1,No,3,B,64,B
P028,Pain muffin anglais,Harry's,Pains,1145,273,1.2,4.8,625,0.63,8.8,3.8,0.0,4,No,7,C,53,C
P029,Pain tortilla,Casino,Pains,1320,315,3.8,3.5,685,0.69,8.2,3.5,0.0,5,No,11,D,48,C
P030,Pain complet quinoa bio,Biocoop,Pains,1070,256,0.9,2.8,445,0.45,11.2,8.8,5.0,0,Yes,-2,A,87,A
P031,Baguette dorée,La Boulangère,Pains,1185,283,0.4,2.7,725,0.73,8.8,3.5,0.0,2,No,6,C,59,B
P032,Pain de mie américain,Jacquet,Pains,1175,281,2.5,7.2,615,0.62,8.0,2.8,0.0,7,No,11,D,47,C
P034,Pain au sarrasin bio,Carrefour Bio,Pains,1015,243,0.6,2.2,425,0.43,9.8,8.5,0.0,0,Yes,-4,A,86,A
P035,Baguette tradition Label Rouge,Auchan,Pains,1165,278,0.4,2.5,685,0.69,9.5,4.2,0.0,1,No,4,C,64,B
P036,Pain brioché tressé,Pasquier,Pains,1485,355,6.5,16.8,365,0.37,7.8,2.5,0.0,8,No,16,D,42,D
P037,Pain viking,Bjorg,Pains,1095,262,1.2,3.5,545,0.55,9.5,6.8,0.0,1,No,4,C,62,B
P039,Pain aux graines de lin bio,U Bio,Pains,1085,259,1.5,2.8,465,0.47,10.8,9.2,10.0,0,Yes,-1,A,86,A
P040,Baguette campagnarde,Leclerc,Pains,1155,276,0.5,2.8,695,0.7,8.8,4.5,0.0,2,No,5,C,60,B
P041,Pain hot-dog XXL,Jacquet,Pains,1295,309,3.5,9.2,655,0.66,8.5,2.8,0.0,8,No,13,D,44,D
P042,Pain essène bio,Biocoop,Pains,985,235,0.4,2.5,385,0.39,9.2,8.8,0.0,0,Yes,-5,A,88,A
P043,Fougasse aux lardons,Monoprix,Pains,1385,331,4.5,3.2,895,0.9,10.5,3.2,0.0,5,No,12,D,45,D
